species,Shannon
Pongo_abelii,2.411005701
Pongo_abelii,1.720193459
Pan_troglodytes_verus,2.250260279
Pan_troglodytes_verus,2.710096134
Pan_troglodytes_verus,3.221861082
Pan_troglodytes_verus,3.212475952
Pan_troglodytes_ellioti,
Pan_troglodytes_troglodytes,2.752453209
Pan_troglodytes_troglodytes,1.591095564
Pan_troglodytes_schweinfurthii,2.68318869
Pan_troglodytes_schweinfurthii,2.362492945
Pan_troglodytes_schweinfurthii,3.048309459
Pan_troglodytes_schweinfurthii,2.428775528
Pan_troglodytes_schweinfurthii,2.446382278
Pan_troglodytes_schweinfurthii,2.337561758
Pan_paniscus,2.807255351
Gorilla_beringei_beringei,2.475450013
Gorilla_beringei_beringei,2.275710686
Gorilla_gorilla_gorilla,2.643580279
Gorilla_gorilla_gorilla,2.541988786
Gorilla_gorilla_gorilla,2.522307551
Gorilla_beringei_graueri,
Gorilla_gorilla_diehli,
Homo_sapiens,