species,interbirth_interval_months_collective
Gorilla_beringei_beringei,47
Gorilla_beringei_graueri,55.2
Gorilla_gorilla_diehli,
Gorilla_gorilla_gorilla,62.28
Homo_sapiens,40.8
Homo_sapiens,37
Homo_sapiens,34
Homo_sapiens,49
Homo_sapiens,42
Homo_sapiens,44
Homo_sapiens,38
Pan_paniscus,54
Pan_paniscus,96
Pan_troglodytes_ellioti,
Pan_troglodytes_schweinfurthii,66
Pan_troglodytes_schweinfurthii,86
Pan_troglodytes_schweinfurthii,72
Pan_troglodytes_troglodytes,
Pan_troglodytes_verus,61
Pan_troglodytes_verus,69
Pongo_abelii,111.6